,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,num_candidates,noise
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,8,0.00125
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_8,candidate_7,8,0.00125
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_7,candidate_6,candidate_8,8,0.00125
3,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_7,candidate_8,candidate_6,8,0.00125
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_8,candidate_6,candidate_7,8,0.00125
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_8,candidate_7,candidate_6,8,0.00125
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5,candidate_7,candidate_8,8,0.00125
7,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5,candidate_8,candidate_7,8,0.00125
8,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_7,candidate_5,candidate_8,8,0.00125
9,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_7,candidate_8,candidate_5,8,0.00125
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_8,candidate_5,candidate_7,8,0.00125
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_7,candidate_5,candidate_6,candidate_8,8,0.00125
12,candidate_1,candidate_2,candidate_3,candidate_4,candidate_7,candidate_5,candidate_8,candidate_6,8,0.00125
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_7,candidate_6,candidate_5,candidate_8,8,0.00125
14,candidate_1,candidate_2,candidate_3,candidate_4,candidate_7,candidate_8,candidate_6,candidate_5,8,0.00125
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_8,candidate_5,candidate_6,candidate_7,8,0.00125
16,candidate_1,candidate_2,candidate_3,candidate_4,candidate_8,candidate_5,candidate_7,candidate_6,8,0.00125
17,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_6,candidate_8,candidate_7,8,0.00125
18,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_7,candidate_6,candidate_8,8,0.00125
19,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_7,candidate_8,candidate_6,8,0.00125
20,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_4,candidate_7,candidate_8,8,0.00125
21,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_7,candidate_4,candidate_8,8,0.00125
22,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_7,candidate_8,candidate_4,8,0.00125
23,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_8,candidate_4,candidate_7,8,0.00125
24,candidate_1,candidate_2,candidate_3,candidate_5,candidate_6,candidate_8,candidate_7,candidate_4,8,0.00125
25,candidate_1,candidate_2,candidate_3,candidate_5,candidate_7,candidate_4,candidate_6,candidate_8,8,0.00125
26,candidate_1,candidate_2,candidate_3,candidate_5,candidate_7,candidate_4,candidate_8,candidate_6,8,0.00125
27,candidate_1,candidate_2,candidate_3,candidate_5,candidate_7,candidate_6,candidate_4,candidate_8,8,0.00125
28,candidate_1,candidate_2,candidate_3,candidate_5,candidate_7,candidate_6,candidate_8,candidate_4,8,0.00125
29,candidate_1,candidate_2,candidate_3,candidate_5,candidate_7,candidate_8,candidate_6,candidate_4,8,0.00125
30,candidate_1,candidate_2,candidate_3,candidate_5,candidate_8,candidate_4,candidate_6,candidate_7,8,0.00125
31,candidate_1,candidate_2,candidate_3,candidate_5,candidate_8,candidate_6,candidate_7,candidate_4,8,0.00125
32,candidate_1,candidate_2,candidate_3,candidate_5,candidate_8,candidate_7,candidate_4,candidate_6,8,0.00125
33,candidate_1,candidate_2,candidate_3,candidate_6,candidate_4,candidate_5,candidate_7,candidate_8,8,0.00125
