0,candidate_1,candidate_2,0
1,candidate_1,candidate_2,candidate_3
2,0,candidate_2,candidate_3
3,candidate_1,candidate_2,candidate_3
4,candidate_1,candidate_2,candidate_3
5,candidate_1,candidate_2,candidate_3
6,0,candidate_2,candidate_3
7,candidate_1,candidate_2,candidate_3
8,0,candidate_2,candidate_3
9,candidate_1,candidate_2,candidate_3
10,candidate_1,candidate_2,candidate_3
11,candidate_1,candidate_2,0
12,candidate_1,candidate_2,0
13,candidate_1,candidate_2,candidate_3
14,0,candidate_2,0
15,candidate_1,candidate_2,candidate_3
16,candidate_1,0,candidate_3
17,candidate_1,0,candidate_3
18,candidate_1,candidate_2,candidate_3
19,0,candidate_2,0
20,candidate_1,candidate_2,candidate_3
21,0,candidate_2,candidate_3
22,candidate_1,candidate_2,0
23,candidate_1,0,0
24,0,candidate_2,candidate_3
25,candidate_1,candidate_2,candidate_3
26,candidate_1,candidate_2,candidate_3
27,candidate_1,candidate_2,0
28,candidate_1,candidate_2,candidate_3
29,candidate_1,0,0
30,candidate_1,candidate_2,candidate_3
31,candidate_1,candidate_2,candidate_3
32,candidate_1,candidate_2,candidate_3
33,candidate_1,candidate_2,candidate_3
34,candidate_1,0,candidate_3
35,candidate_1,candidate_2,candidate_3
36,candidate_1,candidate_2,candidate_3
37,0,0,candidate_3
38,0,candidate_2,0
39,candidate_1,candidate_2,candidate_3
40,candidate_1,0,0
41,0,candidate_2,candidate_3
42,candidate_1,candidate_2,candidate_3
43,candidate_1,candidate_2,candidate_3
44,candidate_1,candidate_2,candidate_3
45,candidate_1,0,0
46,candidate_1,candidate_2,candidate_3
47,candidate_1,candidate_2,0
48,candidate_1,candidate_2,candidate_3
49,candidate_1,0,candidate_3
50,candidate_1,candidate_2,candidate_3
51,candidate_1,candidate_2,candidate_3
52,candidate_1,candidate_2,0
53,candidate_1,candidate_2,0
54,candidate_1,candidate_2,candidate_3
55,candidate_1,candidate_2,candidate_3
56,candidate_1,candidate_2,candidate_3
57,candidate_1,candidate_2,candidate_3
