,candidate_1,candidate_2,candidate_3,candidate_4,num_candidates,noise
0,candidate_1,candidate_2,0,candidate_4,4,0.2
1,0,candidate_2,candidate_3,candidate_4,4,0.2
2,candidate_1,candidate_2,candidate_3,0,4,0.2
3,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
4,candidate_1,candidate_2,candidate_3,0,4,0.2
5,0,candidate_2,candidate_3,candidate_4,4,0.2
6,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
7,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
8,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
9,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
10,0,candidate_2,candidate_3,candidate_4,4,0.2
11,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
12,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
13,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
14,candidate_1,candidate_2,candidate_3,0,4,0.2
15,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
16,candidate_1,0,candidate_3,candidate_4,4,0.2
17,candidate_1,0,candidate_3,candidate_4,4,0.2
18,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
19,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
20,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
21,candidate_1,candidate_2,0,candidate_4,4,0.2
22,candidate_1,candidate_2,0,candidate_4,4,0.2
23,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
24,candidate_1,candidate_2,0,candidate_4,4,0.2
25,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
26,candidate_1,candidate_2,candidate_3,0,4,0.2
27,0,candidate_2,candidate_3,candidate_4,4,0.2
28,0,candidate_2,0,candidate_4,4,0.2
29,candidate_1,0,candidate_3,0,4,0.2
30,candidate_1,candidate_2,candidate_3,0,4,0.2
31,candidate_1,candidate_2,candidate_3,0,4,0.2
32,candidate_1,0,candidate_3,candidate_4,4,0.2
33,candidate_1,0,candidate_3,candidate_4,4,0.2
34,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
35,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
36,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
37,candidate_1,candidate_2,0,0,4,0.2
38,candidate_1,0,candidate_3,candidate_4,4,0.2
39,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
40,0,0,candidate_3,candidate_4,4,0.2
41,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
42,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
43,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
44,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
45,candidate_1,0,candidate_3,candidate_4,4,0.2
46,0,candidate_2,0,candidate_4,4,0.2
47,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
48,0,0,candidate_3,candidate_4,4,0.2
49,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
50,candidate_1,0,0,0,4,0.2
51,candidate_1,candidate_2,candidate_3,candidate_4,4,0.2
52,0,candidate_2,candidate_3,0,4,0.2
53,0,candidate_2,0,candidate_4,4,0.2
54,candidate_1,candidate_2,0,candidate_4,4,0.2
55,candidate_1,candidate_2,candidate_3,0,4,0.2
56,candidate_1,candidate_2,0,candidate_4,4,0.2
57,candidate_1,candidate_2,candidate_3,0,4,0.2
58,candidate_1,candidate_2,0,0,4,0.2
