,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,num_candidates,noise
0,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,8,0.09875
1,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_7,candidate_6,candidate_8,8,0.09875
2,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_7,candidate_8,candidate_6,8,0.09875
3,candidate_1,0,candidate_3,candidate_4,candidate_5,candidate_8,candidate_6,candidate_7,8,0.09875
4,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5,candidate_7,candidate_8,8,0.09875
5,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_5,0,0,8,0.09875
6,candidate_1,candidate_2,candidate_3,candidate_4,candidate_6,candidate_7,candidate_5,candidate_8,8,0.09875
7,candidate_1,0,candidate_3,candidate_4,0,candidate_7,candidate_8,0,8,0.09875
8,candidate_1,candidate_2,0,candidate_4,candidate_6,candidate_8,candidate_7,candidate_5,8,0.09875
9,candidate_1,candidate_2,candidate_3,0,candidate_7,candidate_5,0,candidate_6,8,0.09875
10,candidate_1,candidate_2,candidate_3,candidate_4,candidate_7,candidate_6,candidate_8,candidate_5,8,0.09875
11,candidate_1,candidate_2,candidate_3,candidate_4,candidate_7,candidate_6,candidate_8,candidate_5,8,0.09875
12,0,candidate_2,candidate_3,candidate_4,candidate_7,candidate_8,candidate_6,candidate_5,8,0.09875
13,candidate_1,candidate_2,candidate_3,candidate_4,candidate_8,candidate_5,candidate_6,candidate_7,8,0.09875
14,candidate_1,0,candidate_3,candidate_4,candidate_8,candidate_5,candidate_7,candidate_6,8,0.09875
15,candidate_1,candidate_2,candidate_3,candidate_4,candidate_8,candidate_6,candidate_5,candidate_7,8,0.09875
16,candidate_1,candidate_2,candidate_3,0,candidate_8,candidate_6,0,candidate_5,8,0.09875
17,candidate_1,0,candidate_3,candidate_5,candidate_4,candidate_6,0,candidate_8,8,0.09875
18,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_7,candidate_6,candidate_8,8,0.09875
19,candidate_1,candidate_2,candidate_3,candidate_5,candidate_4,candidate_8,candidate_6,candidate_7,8,0.09875
