,candidate_1,candidate_2,candidate_3,candidate_4
0,candidate_1,candidate_2,candidate_3,candidate_4
1,candidate_1,candidate_2,candidate_3,candidate_4
2,candidate_1,candidate_2,candidate_3,candidate_4
3,candidate_1,candidate_2,candidate_3,candidate_4
4,candidate_1,candidate_2,candidate_3,candidate_4
5,candidate_1,candidate_2,candidate_3,candidate_4
6,candidate_1,candidate_2,candidate_3,candidate_4
7,candidate_1,candidate_2,candidate_3,candidate_4
8,candidate_1,candidate_2,candidate_3,candidate_4
9,candidate_1,candidate_2,candidate_3,candidate_4
10,candidate_1,candidate_2,candidate_3,candidate_4
11,candidate_1,candidate_2,candidate_3,candidate_4
12,candidate_1,candidate_2,candidate_3,candidate_4
13,candidate_1,candidate_2,candidate_3,candidate_4
14,candidate_1,0,candidate_3,candidate_4
15,candidate_1,candidate_2,candidate_3,candidate_4
16,candidate_1,candidate_2,candidate_3,candidate_4
17,candidate_1,candidate_2,candidate_3,candidate_4
18,candidate_1,0,candidate_3,candidate_4
19,candidate_1,candidate_2,candidate_3,candidate_4
20,candidate_1,candidate_2,candidate_3,candidate_4
21,candidate_1,candidate_2,candidate_3,candidate_4
22,candidate_1,candidate_2,candidate_3,candidate_4
23,candidate_1,candidate_2,candidate_3,candidate_4
24,candidate_1,candidate_2,candidate_3,candidate_4
25,candidate_1,candidate_2,candidate_3,candidate_4
26,candidate_1,candidate_2,candidate_3,candidate_4
27,candidate_1,candidate_2,candidate_3,candidate_4
28,candidate_1,candidate_2,candidate_3,candidate_4
29,candidate_1,0,candidate_3,candidate_4
30,candidate_1,candidate_2,candidate_3,candidate_4
31,candidate_1,candidate_2,candidate_3,candidate_4
32,candidate_1,candidate_2,candidate_3,candidate_4
33,candidate_1,candidate_2,0,candidate_4
34,candidate_1,candidate_2,candidate_3,candidate_4
35,candidate_1,candidate_2,candidate_3,candidate_4
36,candidate_1,candidate_2,candidate_3,candidate_4
37,candidate_1,candidate_2,candidate_3,candidate_4
38,candidate_1,candidate_2,candidate_3,candidate_4
39,candidate_1,candidate_2,candidate_3,candidate_4
40,candidate_1,candidate_2,candidate_3,candidate_4
41,candidate_1,candidate_2,candidate_3,candidate_4
42,candidate_1,candidate_2,candidate_3,candidate_4
43,candidate_1,candidate_2,0,candidate_4
44,candidate_1,candidate_2,candidate_3,candidate_4
45,candidate_1,candidate_2,candidate_3,candidate_4
46,candidate_1,candidate_2,candidate_3,candidate_4
47,candidate_1,candidate_2,candidate_3,candidate_4
48,candidate_1,candidate_2,candidate_3,candidate_4
49,candidate_1,candidate_2,candidate_3,candidate_4
50,candidate_1,candidate_2,candidate_3,candidate_4
51,candidate_1,candidate_2,candidate_3,candidate_4
52,candidate_1,candidate_2,candidate_3,candidate_4
53,candidate_1,candidate_2,candidate_3,candidate_4
54,candidate_1,candidate_2,candidate_3,candidate_4
55,candidate_1,candidate_2,candidate_3,candidate_4
56,candidate_1,candidate_2,candidate_3,candidate_4
57,candidate_1,0,candidate_3,0
58,candidate_1,candidate_2,candidate_3,candidate_4
59,candidate_1,candidate_2,candidate_3,candidate_4
60,candidate_1,candidate_2,candidate_3,candidate_4
61,candidate_1,candidate_2,candidate_3,candidate_4
62,candidate_1,candidate_2,candidate_3,candidate_4
63,candidate_1,candidate_2,candidate_3,candidate_4
64,candidate_1,candidate_2,candidate_3,candidate_4
65,candidate_1,candidate_2,candidate_3,candidate_4
66,candidate_1,candidate_2,0,candidate_4
67,candidate_1,candidate_2,candidate_3,candidate_4
68,candidate_1,candidate_2,candidate_3,candidate_4
69,candidate_1,candidate_2,candidate_3,candidate_4
70,candidate_1,candidate_2,candidate_3,candidate_4
71,candidate_1,candidate_2,candidate_3,candidate_4
72,candidate_1,candidate_2,candidate_3,candidate_4
73,candidate_1,candidate_2,candidate_3,candidate_4
74,candidate_1,candidate_2,candidate_3,candidate_4
75,candidate_1,candidate_2,candidate_3,candidate_4
76,candidate_1,candidate_2,candidate_3,candidate_4
77,candidate_1,candidate_2,candidate_3,candidate_4
78,candidate_1,candidate_2,candidate_3,candidate_4
79,candidate_1,candidate_2,candidate_3,candidate_4
80,candidate_1,candidate_2,candidate_3,candidate_4
81,candidate_1,candidate_2,candidate_3,candidate_4
82,candidate_1,candidate_2,candidate_3,candidate_4
83,candidate_1,candidate_2,candidate_3,candidate_4
84,candidate_1,candidate_2,candidate_3,candidate_4
85,candidate_1,candidate_2,candidate_3,candidate_4
86,candidate_1,candidate_2,0,candidate_4
87,candidate_1,candidate_2,candidate_3,candidate_4
88,0,candidate_2,candidate_3,candidate_4
89,candidate_1,candidate_2,candidate_3,candidate_4
90,candidate_1,candidate_2,candidate_3,candidate_4
91,candidate_1,candidate_2,candidate_3,candidate_4
92,candidate_1,candidate_2,candidate_3,candidate_4
93,candidate_1,candidate_2,candidate_3,candidate_4
94,candidate_1,candidate_2,candidate_3,candidate_4
95,candidate_1,candidate_2,candidate_3,candidate_4
96,candidate_1,candidate_2,candidate_3,candidate_4
97,candidate_1,candidate_2,candidate_3,candidate_4
98,candidate_1,candidate_2,candidate_3,candidate_4
99,candidate_1,candidate_2,candidate_3,candidate_4
100,candidate_1,candidate_2,candidate_3,candidate_4
101,candidate_1,candidate_2,candidate_3,candidate_4
102,candidate_1,candidate_2,candidate_3,candidate_4
103,candidate_1,candidate_2,candidate_3,candidate_4
104,candidate_1,candidate_2,candidate_3,candidate_4
105,candidate_1,candidate_2,candidate_3,candidate_4
106,candidate_1,candidate_2,candidate_3,candidate_4
107,candidate_1,candidate_2,candidate_3,0
108,candidate_1,candidate_2,candidate_3,candidate_4
109,candidate_1,candidate_2,candidate_3,candidate_4
110,candidate_1,candidate_2,candidate_3,candidate_4
111,candidate_1,candidate_2,candidate_3,candidate_4
112,candidate_1,candidate_2,candidate_3,candidate_4
113,candidate_1,candidate_2,candidate_3,candidate_4
114,candidate_1,candidate_2,candidate_3,candidate_4
115,candidate_1,candidate_2,candidate_3,candidate_4
116,candidate_1,candidate_2,candidate_3,candidate_4
117,candidate_1,0,candidate_3,candidate_4
118,candidate_1,candidate_2,candidate_3,candidate_4
119,candidate_1,candidate_2,candidate_3,candidate_4
120,candidate_1,candidate_2,0,candidate_4
121,candidate_1,candidate_2,candidate_3,candidate_4
122,candidate_1,candidate_2,candidate_3,candidate_4
123,candidate_1,candidate_2,candidate_3,candidate_4
124,candidate_1,candidate_2,candidate_3,candidate_4
125,candidate_1,candidate_2,candidate_3,0
126,candidate_1,candidate_2,candidate_3,candidate_4
127,candidate_1,candidate_2,candidate_3,candidate_4
128,candidate_1,candidate_2,candidate_3,candidate_4
129,candidate_1,candidate_2,candidate_3,candidate_4
130,0,candidate_2,candidate_3,candidate_4
131,candidate_1,candidate_2,candidate_3,candidate_4
132,candidate_1,candidate_2,candidate_3,candidate_4
133,candidate_1,candidate_2,candidate_3,candidate_4
134,candidate_1,candidate_2,candidate_3,candidate_4
135,candidate_1,candidate_2,candidate_3,candidate_4
136,candidate_1,candidate_2,0,candidate_4
137,candidate_1,candidate_2,candidate_3,candidate_4
